"passage_id","stanza","book","hymn","stanza_n","n_family_tokens","family_surfaces","family_lemmas","family_padas","family_morphology","n_padas","arnold_metre_labels","arnold_stratum_code","arnold_stratum","stratum_certainty","addressee","poet_group","stanza_properties_flags","samhita_text","padapatha","translations_present","translations_absent","source_id","retrieval_date","supports_page","notes"
"PUR-P-026","02.014.06","2","14","6","1","púraḥ","púr-","b","b1 case=ACC|gender=F|number=PL","4","M M M M","N","Normal","certain","Indra","2. group: hymns to Indra","(none)","ádhvaryavo yáḥ śatáṁ śámbarasya púro bibhédā́śmaneva pūrvī́ḥ / yó varcínaḥ śatám índraḥ sahásram apā́vapad bháratā sómam asmai","adhvaryavaḥ | yaḥ | śatam | śambarasya | puraḥ | bibheda | aśmanāiva | pūrvīḥ | yaḥ | varcinaḥ | śatam | indraḥ | sahasram | apa-avapat | bharata | somam | asmai","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-027","02.019.06","2","19","6","1","púraḥ","púr-","d","d2 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","2. group: hymns to Indra","(none)","sá randhayat sadívaḥ sā́rathaye śúṣṇam aśúṣaṁ kúyavaṁ kútsāya / dívodāsāya navatíṁ ca návéndraḥ púro vy a .ìrac chámbarasya","saḥ | randhayat | sa-divaḥ | sārathaye | śuṣṇam | aśuṣam | kuyavam | kutsāya | d ivaḥ-dāsāya | navatim | ca | nava | indraḥ | puraḥ | vi | airat | śambarasya","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-028","02.020.07","2","20","7","1","puraṃdaráḥ","puraṃdará-","b","b1 case=NOM|gender=M|number=SG","4","M M M M","A","Archaic","certain","Indra","2. group: hymns to Indra","(none)","sá vr̥trahéndraḥ kr̥ṣṇáyonīḥ puraṁdaró dā́sīr airayad ví / ájanayan mánave kṣā́m apáś ca satrā́ śáṁsaṁ yájamānasya tūtot","saḥ | vr̥tra-hā | indraḥ | kr̥ṣṇa-yonīḥ | puram-daraḥ | dāsīḥ | airayat | vi | ajanayan | manave | kṣāma-paḥ | ca | satrā | śaṁsam | yajamānasya | tūtot","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-029","02.020.08","2","20","8","1","púraḥ","púr-","d","d3 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","2. group: hymns to Indra","(none)","tásmai tavasyàm ánu dāyi satréndrāya devébhir árṇasātau / práti yád asya vájram bāhvór dhúr hatvī́ dásyūn púra ā́yasīr ní tārīt","tasmai | tavasyam | anu | dāyi | satrā | indrāya | devebhiḥ | arṇa-sātau | prati | yat | asya | vajram | bāhvoḥ | dhuḥ | hatvī | dasyūn | puraḥ | āyasīḥ | ni | tārīt","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-030","02.035.06","2","35","6","1","pūrṣú","púr-","c","c2 case=LOC|gender=F|number=PL","4","M M M M","N","Normal","certain","Apam Napat","5. group: hymns to various gods","(none)","áśvasyā́tra jánimāsyá ca svàr druhó riṣáḥ sampŕ̥caḥ pāhi sūrī́n / āmā́su pūrṣú paró apramr̥ṣyáṁ nā́rātayo ví naśan nā́nr̥tāni","aśvasya | atra | janima | asya | ca | svaḥ | druhaḥ | riṣaḥ | sam-pr̥caḥ | pāhi  | sūrīn | āmāsu | pūrṣu | paraḥ | apra-mr̥ṣyam | na | arātayaḥ | vi | naśan | na | anr̥tāni","elizarenkova geldner grassmann griffith macdonell renou","mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-031","03.012.06","3","12","6","1","púraḥ","púr-","a","a3 case=ACC|gender=F|number=PL","3","M M M","s","Strophic","metrical-variations-only","Indra and Agni","1. group: hymns to Agni","(none)","índrāgnī navatím púro dāsápatnīr adhūnutam / sākám ékena kármaṇā","indrāgnī iti | navatim | puraḥ | dāsa-patnīḥ | adhūnutam | sākam | ekena | karmaṇā","elizarenkova geldner grassmann griffith oldenberg_tr renou","macdonell mueller otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-032","03.015.04","3","15","4","1","púraḥ","púr-","b","b1 case=ACC|gender=F|number=PL","4","M M M M","N","Normal","certain","Agni","1. group: hymns to Agni","(none)","áṣāḷho agne vr̥ṣabhó didīhi púro víśvāḥ saúbhagā saṁjigīvā́n / yajñásya netā́ prathamásya pāyór jā́tavedo br̥hatáḥ supraṇīte","aṣāl̥haḥ | agne | vr̥ṣabhaḥ | didīhi | puraḥ | viśvāḥ | saubhagā | sam-jigīvān | yajñasya | netā | prathamasya | pāyoḥ | jāta-vedaḥ | br̥hataḥ | su-pranīte","elizarenkova geldner grassmann griffith oldenberg_tr renou","macdonell mueller otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-033","03.034.01","3","34","1","1","pūrbhít","pūrbhíd-","a","a2 case=NOM|gender=M|number=SG","4","M M M M","c","Cretic","metrical-variations-only","Indra","2. group: hymns to Indra","(none)","índraḥ pūrbhíd ā́tirad dā́sam arkaír vidádvasur dáyamāno ví śátrūn / bráhmajūtas tanvāā̀ vāvr̥dhānó bhū́ridātra ā́pr̥ṇad ródasī ubhé","indraḥ | pūḥ-bhit | ā | atirat | dāsam | arkaiḥ | vidat-vasuḥ | dayamānaḥ | vi | śatrūn | brahma-jūtaḥ | tanvā | vavr̥dhānaḥ | bhūri-dātraḥ | ā | apr̥ṇat | rodasī iti | ubhe iti","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-034","03.045.02","3","45","2","1","purā́m","púr-","b","b1 case=GEN|gender=F|number=PL","4","M M M M","N","Normal","certain","Indra","2. group: hymns to Indra","(none)","vr̥trakhādó valaṁrujáḥ purā́ṁ darmó apā́m ajáḥ / sthā́tā ráthasya háryor abhisvará índro dr̥ḷhā́ cid ārujáḥ","vr̥tra-khādaḥ | valam-rujaḥ | purām | darmaḥ | apām | ajaḥ | sthātā | rathasya | haryoḥ | abhi-svare | indraḥ | dr̥l̥hā | cit | ārujaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-035","03.051.02","3","51","2","1","pūrbhídam","pūrbhíd-","c","c2 case=ACC|gender=M|number=SG","4","M M M M","N","Normal","certain","Indra","2. group: hymns to Indra","(none)","śatákratum arṇaváṁ śākínaṁ náraṁ gíro ma índram úpa yanti viśvátaḥ / vājasánim pūrbhídaṁ tū́rṇim aptúraṁ dhāmasā́cam abhiṣā́caṁ svarvídam","śata-kratum | arṇavam | śākinam | naram | giraḥ | me | indram | upa | yanti | viśvataḥ | vāja-sanim | pūḥ-bhidam | tūrṇim | ap-turam | dhāma-sācam | abhi-ṣācam | svaḥ-vidam","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-036","03.054.15","3","54","15","1","puraṃdaráḥ","puraṃdará-","c","c1 case=NOM|gender=M|number=SG","4","M M M M","C","Cretic","certain","all the gods","3. group: hymns to the Visvedevas","(none)","índro víśvair vīrya .ìḥ pátyamāna ubhé ā́ paprau ródasī mahitvā́ / puraṁdaró vr̥trahā́ dhr̥ṣṇúṣeṇaḥ saṁgŕ̥bhyā na ā́ bharā bhū́ri paśváḥ","indraḥ | viśvaiḥ | vīryaiḥ | patyamānaḥ | ubhe iti | ā | paprau | rodasī iti | mahi-tvā | puram-daraḥ | vr̥tra-hā | dhr̥ṣṇu-seṇaḥ | sam-gr̥bhya | naḥ | ā | bhara | bhūri | paśvaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-037","04.016.13","4","16","13","1","púraḥ","púr-","d","d3 case=ACC|gender=F|number=PL","4","M M M M","S","Strophic","certain","Indra","2. group: hymns to Indra","(none)","tvám píprum mŕ̥gayaṁ śūśuvā́ṁsam r̥jíśvane vaidathinā́ya randhīḥ / pañcāśát kr̥ṣṇā́ ní vapaḥ sahásrā́tkaṁ ná púro jarimā́ ví dardaḥ","tvam | piprum | mr̥gayam | śūśu-vāṁsam | r̥jiśvane | vaidathināya | randhīḥ | pañcāśat | kr̥ṣṇā | ni | vapaḥ | sahasrā | ātkam | na | puraḥ | jarimā | vi | dardaḥ","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-038","04.026.03","4","26","3","1","púraḥ","púr-","a","a2 case=ACC|gender=F|number=PL","4","M M M M","S","Strophic","certain","Indra","2. group: hymns to Indra","(none)","ahám púro mandasānó vy a .ìraṁ náva sākáṁ navatī́ḥ śámbarasya / śatatamáṁ veśyàṁ sarvátātā dívodāsam atithigváṁ yád ā́vam","aham | puraḥ | mandasānaḥ | vi | airam | nava | sākam | navatīḥ | śambarasya | śata-tamam | veśyam | sarva-tātā | divaḥ-dāsam | atithi-gvam | yat | āvam","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-039","04.027.01","4","27","1","1","púraḥ","púr-","c","c3 case=NOM|gender=F|number=PL","4","M M M M","S","Strophic","certain","Soma and the eagle","2. group: hymns to Indra","(none)","gárbhe nú sánn ánv eṣām avedam aháṁ devā́nāṁ jánimāni víśvā / śatám mā púra ā́yasīr arakṣann ádha śyenó javásā nír adīyam","garbhe | nu | san | anu | eṣām | avedam | aham | devānām | janimāni | viśvā | śatam | mā | puraḥ | āyasīḥ | arakṣan | adha | śyenaḥ | javasā | niḥ | adīyam","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-040","04.030.13","4","30","13","1","púraḥ","púr-","c","c1 case=ACC|gender=F|number=PL","3","M M M","S","Strophic","certain","Indra","2. group: hymns to Indra","(none)","utá śúṣṇasya dhr̥ṣṇuyā́ prá mr̥kṣo abhí védanam / púro yád asya sampiṇák","uta | śuṣṇasya | dhr̥ṣṇu-yā | pra | mr̥kṣaḥ | abhi | vedanam | puraḥ | yat | asya | sam-piṇak","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-041","04.030.20","4","30","20","1","purā́m","púr-","b","b1 case=GEN|gender=F|number=PL","3","M M M","S","Strophic","certain","Indra","2. group: hymns to Indra","(none)","śatám aśmanmáyīnām purā́m índro vy āā̀syat / dívodāsāya dāśúṣe","śatam | aśman-mayīnām | purām | indraḥ | vi | āsyat | divaḥ-dāsāya | dāśuṣe","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-042","04.032.10","4","32","10","1","púraḥ","púr-","c","c1 case=ACC|gender=F|number=PL","3","M M M","S","Strophic","certain","Indra","2. group: hymns to Indra","(none)","prá te vocāma vīryāā̀ yā́ mandasāná ā́rujaḥ / púro dā́sīr abhī́tya","pra | te | vocāma | vīryā | yāḥ | mandasanaḥ | ā | arujaḥ | puraḥ | dāsīḥ | abhi-itya","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-043","05.019.02","5","19","2","1","púram","púr-","c","c3 case=ACC|gender=F|number=SG","3","MT MT MT","A","Archaic","certain","Agni","1. group: hymns to Agni","grassmann","juhuré ví citáyantó 'nimiṣaṁ nr̥mṇám pānti / ā́ dr̥ḷhā́m púraṁ viviśuḥ","juhure | vi | citayantaḥ | animiṣam | nr̥mṇam | pānti | ā | dr̥l̥hām | puram | viviśuḥ","elizarenkova geldner grassmann griffith oldenberg_tr renou","macdonell mueller otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)",""
"PUR-P-044","05.030.11","5","30","11","1","puraṃdaráḥ","puraṃdará-","c","c1 case=NOM|gender=M|number=SG","4","M M M M","N","Normal","certain","Indra","2. group: hymns to Indra","(none)","yád īṁ sómā babhrúdhūtā ámandann ároravīd vr̥ṣabháḥ sā́daneṣu / puraṁdaráḥ papivā́m̐ índro asya púnar gávām adadād usríyāṇām","yat | īm | somāḥ | babhru-dhūtāḥ | amandan | aroravīt | vr̥ṣabhaḥ | sādaneṣu | puram-daraḥ | papi-vān | indraḥ | asya | punaḥ | gavām | adadāt | usriyāṇām","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-045","05.041.12","5","41","12","1","púraḥ","púr-","c","c3 case=NOM|gender=F|number=PL","4","M M M M","A","Archaic","certain","all the gods","3. group: hymns to the all-gods","(none)","śr̥ṇótu na ūrjā́m pátir gíraḥ sá nábhas tárīyām̐ iṣiráḥ párijmā / śr̥ṇvántv ā́paḥ púro ná śubhrā́ḥ pári srúco babr̥hāṇásyā́dreḥ","śr̥ṇotu | naḥ | ūrjām | patiḥ | giraḥ | saḥ | nabhaḥ | tarīyān | iṣiraḥ | pari-jmā | śr̥ṇvantu | āpaḥ | puraḥ | na | śubhrāḥ | pari | srucaḥ | babr̥hāṇasya | adreḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-046","05.066.04","5","66","4","1","pūrbhíḥ","púr-","b","b2 case=INS|gender=F|number=PL","4","M M M M","A","Archaic","certain","Mitra and Varuna","5. group: hymns to Mitra-Varuna","(none)","ádhā hí kā́vyā yuváṁ dákṣasya pūrbhír adbhutā / ní ketúnā jánānāṁ cikéthe pūtadakṣasā","adha | hi | kāvyā | yuvam | dakṣasya | pūḥ-bhiḥ | adbhutā | ni | ketunā | janānām | ciketheiti | pūta-dakṣasā","elizarenkova geldner grassmann griffith otto renou","macdonell mueller oldenberg_tr","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-047","06.002.07","6","2","7","1","purí","púr-","c","c2 case=LOC|gender=F|number=SG","4","M M M M","A","Archaic","certain","Agni","1. group: hymns to Agni","(none)","ádhā hí vikṣv ī́ḍyó .asi priyó no átithiḥ / raṇváḥ purīā̀va jū́ryaḥ sūnúr ná trayayā́yyaḥ","adha | hi | vikṣu | īḍyaḥ | asi | priyaḥ | naḥ | atithiḥ | raṇvaḥ | puri-iva | jūyarḥ | sūnuḥ | na | trayayāyyaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-048","06.016.14","6","16","14","1","puraṃdarám","puraṃdará-","c","c2 case=ACC|gender=M|number=SG","3","MO MO MO","A","Archaic","certain","Agni","1. group: hymns to Agni","(none)","tám u tvā dadhyáṅṅ ŕ̥ṣiḥ putrá īdhe átharvaṇaḥ / vr̥traháṇam puraṁdarám","tam | oṁ iti | tvā | dadhyaṅ | r̥ṣiḥ | putraḥ | īdhe | atharvaṇaḥ | vr̥tra-hanam | puram-daram","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-049","06.016.39","6","16","39","1","púraḥ","púr-","c","c2 case=ACC|gender=F|number=PL","3","MO MO MO","A","Archaic","certain","Agni","1. group: hymns to Agni","(none)","yá ugrá iva śaryahā́ tigmáśr̥ṅgo ná váṁsagaḥ / ágne púro rurójitha","yaḥ | ugraḥ-iva | śarya-hā | tigma-śr̥ṅgaḥ | na | vaṁsa-gaḥ | agne | puraḥ | rurojitha","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-050","06.018.05","6","18","5","1","púraḥ","púr-","d","d2 case=ACC|gender=F|number=PL","4","M M M M","n","Normal","metrical-variations-only","Indra","2. group: hymns to Indra","(none)","tán naḥ pratnáṁ sakhyám astu yuṣmé itthā́ vádadbhir valám áṅgirobhiḥ / hánn acyutacyud dasmeṣáyantam r̥ṇóḥ púro ví dúro asya víśvāḥ","tat | naḥ | pratnam | sakhyam | astu | yuṣme iti | itthā | vadat-bhiḥ | valam | aṅgiraḥ-bhiḥ | han | acyuta-cyut | dasma | iṣayantam | r̥ṇoḥ | puraḥ | vi | duraḥ | asya | viśvāḥ","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-051","06.018.08","6","18","8","1","purā́m","púr-","d","d1 case=GEN|gender=F|number=PL","4","M M M M","n","Normal","metrical-variations-only","Indra","2. group: hymns to Indra","(none)","sá yó ná muhé ná míthū jáno bhū́t sumántunāmā cúmuriṁ dhúniṁ ca / vr̥ṇák pípruṁ śámbaraṁ śúṣṇam índraḥ purā́ṁ cyautnā́ya śayáthāya nū́ cit","saḥ | yaḥ | na | muhe | na | mithu | janaḥ | bhūt | sumantu-nāmā | / cumurim | dhunim | ca | vr̥ṇak | piprum | śambaram | śuṣṇam | indraḥ | purām | cyautnāya | śayathāya | nu | cit","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-052","06.020.03","6","20","3","1","purā́m","púr-","d","d3 case=GEN|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","2. group: hymns to Indra","(none)","tū́rvann ójīyān tavásas távīyān kr̥tábrahméndro vr̥ddhámahāḥ / rā́jābhavan mádhunaḥ somyásya víśvāsāṁ yát purā́ṁ dartnúm ā́vat","tūrvan | ojīyān | tavasaḥ | tavīyān | kr̥ta-brahmā | indraḥ | vr̥ddha-mahāḥ | rājā | abhavat | madhunaḥ | somyasya | viśvāsām | yat | purām | datnurm | āvat","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-053","06.020.07","6","20","7","1","púraḥ","púr-","b","b1 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","2. group: hymns to Indra","(none)","ví pípror áhimāyasya dr̥ḷhā́ḥ púro vajriñ chávasā ná dardaḥ / súdāman tád rékṇo apramr̥ṣyám r̥jíśvane dātráṁ dāśúṣe dāḥ","vi | piproḥ | ahi-māyasya | dr̥l̥hāḥ | puraḥ | vajrin | śavasā | na | dardaritidardaḥ | su-dāman | tat | rekṇaḥ | apra-mr̥ṣyam | r̥jiśvane | dātram | dāśuṣe | dāḥ","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
