"claim_id","register","register_line","evidence_status","interpretive_status","editorial_status","publication_status","status_reason","superseded_by","migrated_from_status_cell","migration_state","migration_hold"
"IH-024","03-REGISTERS/inherited-claims.csv","25","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-025","03-REGISTERS/inherited-claims.csv","26","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-026","03-REGISTERS/inherited-claims.csv","27","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-027","03-REGISTERS/inherited-claims.csv","28","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-028","03-REGISTERS/inherited-claims.csv","29","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-029","03-REGISTERS/inherited-claims.csv","30","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-030","03-REGISTERS/inherited-claims.csv","31","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-031","03-REGISTERS/inherited-claims.csv","32","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-032","03-REGISTERS/inherited-claims.csv","33","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-033","03-REGISTERS/inherited-claims.csv","34","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-034","03-REGISTERS/inherited-claims.csv","35","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-035","03-REGISTERS/inherited-claims.csv","36","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-036","03-REGISTERS/inherited-claims.csv","37","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-037","03-REGISTERS/inherited-claims.csv","38","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-038","03-REGISTERS/inherited-claims.csv","39","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-039","03-REGISTERS/inherited-claims.csv","40","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-040","03-REGISTERS/inherited-claims.csv","41","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-041","03-REGISTERS/inherited-claims.csv","42","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-042","03-REGISTERS/inherited-claims.csv","43","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-043","03-REGISTERS/inherited-claims.csv","44","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-044","03-REGISTERS/inherited-claims.csv","45","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-045","03-REGISTERS/inherited-claims.csv","46","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-046","03-REGISTERS/inherited-claims.csv","47","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-047","03-REGISTERS/inherited-claims.csv","48","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-048","03-REGISTERS/inherited-claims.csv","49","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-049","03-REGISTERS/inherited-claims.csv","50","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-050","03-REGISTERS/inherited-claims.csv","51","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-051","03-REGISTERS/inherited-claims.csv","52","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-052","03-REGISTERS/inherited-claims.csv","53","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-053","03-REGISTERS/inherited-claims.csv","54","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-054","03-REGISTERS/inherited-claims.csv","55","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-055","03-REGISTERS/inherited-claims.csv","56","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-056","03-REGISTERS/inherited-claims.csv","57","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-057","03-REGISTERS/inherited-claims.csv","58","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-058","03-REGISTERS/inherited-claims.csv","59","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-059","03-REGISTERS/inherited-claims.csv","60","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-060","03-REGISTERS/inherited-claims.csv","61","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-061","03-REGISTERS/inherited-claims.csv","62","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-062","03-REGISTERS/inherited-claims.csv","63","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-063","03-REGISTERS/inherited-claims.csv","64","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-064","03-REGISTERS/inherited-claims.csv","65","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-065","03-REGISTERS/inherited-claims.csv","66","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-066","03-REGISTERS/inherited-claims.csv","67","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-067","03-REGISTERS/inherited-claims.csv","68","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-068","03-REGISTERS/inherited-claims.csv","69","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-069","03-REGISTERS/inherited-claims.csv","70","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-070","03-REGISTERS/inherited-claims.csv","71","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-071","03-REGISTERS/inherited-claims.csv","72","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-072","03-REGISTERS/inherited-claims.csv","73","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-073","03-REGISTERS/inherited-claims.csv","74","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-074","03-REGISTERS/inherited-claims.csv","75","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-075","03-REGISTERS/inherited-claims.csv","76","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-076","03-REGISTERS/inherited-claims.csv","77","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-077","03-REGISTERS/inherited-claims.csv","78","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-078","03-REGISTERS/inherited-claims.csv","79","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-079","03-REGISTERS/inherited-claims.csv","80","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-080","03-REGISTERS/inherited-claims.csv","81","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-081","03-REGISTERS/inherited-claims.csv","82","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-082","03-REGISTERS/inherited-claims.csv","83","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-083","03-REGISTERS/inherited-claims.csv","84","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-084","03-REGISTERS/inherited-claims.csv","85","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-085","03-REGISTERS/inherited-claims.csv","86","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-086","03-REGISTERS/inherited-claims.csv","87","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-087","03-REGISTERS/inherited-claims.csv","88","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-088","03-REGISTERS/inherited-claims.csv","89","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-089","03-REGISTERS/inherited-claims.csv","90","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-090","03-REGISTERS/inherited-claims.csv","91","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-091","03-REGISTERS/inherited-claims.csv","92","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-092","03-REGISTERS/inherited-claims.csv","93","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-093","03-REGISTERS/inherited-claims.csv","94","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-094","03-REGISTERS/inherited-claims.csv","95","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-095","03-REGISTERS/inherited-claims.csv","96","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-096","03-REGISTERS/inherited-claims.csv","97","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-097","03-REGISTERS/inherited-claims.csv","98","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-098","03-REGISTERS/inherited-claims.csv","99","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-099","03-REGISTERS/inherited-claims.csv","100","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-100","03-REGISTERS/inherited-claims.csv","101","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-101","03-REGISTERS/inherited-claims.csv","102","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-102","03-REGISTERS/inherited-claims.csv","103","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-103","03-REGISTERS/inherited-claims.csv","104","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-104","03-REGISTERS/inherited-claims.csv","105","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-105","03-REGISTERS/inherited-claims.csv","106","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-106","03-REGISTERS/inherited-claims.csv","107","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-107","03-REGISTERS/inherited-claims.csv","108","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-108","03-REGISTERS/inherited-claims.csv","109","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-109","03-REGISTERS/inherited-claims.csv","110","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-110","03-REGISTERS/inherited-claims.csv","111","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-111","03-REGISTERS/inherited-claims.csv","112","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-112","03-REGISTERS/inherited-claims.csv","113","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-113","03-REGISTERS/inherited-claims.csv","114","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-114","03-REGISTERS/inherited-claims.csv","115","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-115","03-REGISTERS/inherited-claims.csv","116","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-116","03-REGISTERS/inherited-claims.csv","117","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-117","03-REGISTERS/inherited-claims.csv","118","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-118","03-REGISTERS/inherited-claims.csv","119","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-119","03-REGISTERS/inherited-claims.csv","120","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-120","03-REGISTERS/inherited-claims.csv","121","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-121","03-REGISTERS/inherited-claims.csv","122","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-122","03-REGISTERS/inherited-claims.csv","123","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-123","03-REGISTERS/inherited-claims.csv","124","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-124","03-REGISTERS/inherited-claims.csv","125","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-125","03-REGISTERS/inherited-claims.csv","126","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-126","03-REGISTERS/inherited-claims.csv","127","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-127","03-REGISTERS/inherited-claims.csv","128","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-128","03-REGISTERS/inherited-claims.csv","129","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-129","03-REGISTERS/inherited-claims.csv","130","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-130","03-REGISTERS/inherited-claims.csv","131","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-131","03-REGISTERS/inherited-claims.csv","132","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-132","03-REGISTERS/inherited-claims.csv","133","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-133","03-REGISTERS/inherited-claims.csv","134","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-134","03-REGISTERS/inherited-claims.csv","135","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-135","03-REGISTERS/inherited-claims.csv","136","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-136","03-REGISTERS/inherited-claims.csv","137","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-137","03-REGISTERS/inherited-claims.csv","138","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-138","03-REGISTERS/inherited-claims.csv","139","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-139","03-REGISTERS/inherited-claims.csv","140","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-140","03-REGISTERS/inherited-claims.csv","141","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-141","03-REGISTERS/inherited-claims.csv","142","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-142","03-REGISTERS/inherited-claims.csv","143","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-143","03-REGISTERS/inherited-claims.csv","144","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-144","03-REGISTERS/inherited-claims.csv","145","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-145","03-REGISTERS/inherited-claims.csv","146","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-146","03-REGISTERS/inherited-claims.csv","147","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-147","03-REGISTERS/inherited-claims.csv","148","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-148","03-REGISTERS/inherited-claims.csv","149","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-149","03-REGISTERS/inherited-claims.csv","150","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-150","03-REGISTERS/inherited-claims.csv","151","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-151","03-REGISTERS/inherited-claims.csv","152","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-152","03-REGISTERS/inherited-claims.csv","153","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-153","03-REGISTERS/inherited-claims.csv","154","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-154","03-REGISTERS/inherited-claims.csv","155","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-155","03-REGISTERS/inherited-claims.csv","156","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-156","03-REGISTERS/inherited-claims.csv","157","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-157","03-REGISTERS/inherited-claims.csv","158","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-158","03-REGISTERS/inherited-claims.csv","159","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-159","03-REGISTERS/inherited-claims.csv","160","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-160","03-REGISTERS/inherited-claims.csv","161","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-161","03-REGISTERS/inherited-claims.csv","162","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-162","03-REGISTERS/inherited-claims.csv","163","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-163","03-REGISTERS/inherited-claims.csv","164","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-164","03-REGISTERS/inherited-claims.csv","165","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-165","03-REGISTERS/inherited-claims.csv","166","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
