96-page curatorial audit,,,,,,,,,,,,,,
"Each row contains a written assessment, publication decision, design assignment and required next action.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Slug,Title,H1 / central finding,Words,Type,Primary environment,Secondary environment,Written assessment,Source entries (est.),External links,Decision,Risk,Required action,MVP,Inbound links
the-genome-of-caste,"Caste in the Genome: Gotra, Endogamy and Sex Difference",Caste is written in the genome — and the two sexes are written differently.,1410,relational-analysis,Living Signal Field,Reading Room,"Well suited to interactive comparison if the underlying corpus/data and categories are exposed. Its central public claim is “Caste is written in the genome — and the two sexes are written differently.” The page has 22 estimated source entries, 3 external links, 1 tables and 0 inline SVGs; source state: visible bibliography plus live links",22,3,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,11
the-insertions,Interpolations: Passages Added to the Vedic Corpus,"A war story, with a law code bolted on.",1220,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “A war story, with a law code bolted on.” The page has 7 estimated source entries, 0 external links, 5 tables and 0 inline SVGs; source state: limited bibliography",7,0,Merge,Low,Merge into `the-edits`; preserve unique evidence and redirect this URL.,No,1
the-killed,The Named Enemies of the Rigveda and Who Was Paid,"The named enemies hold forts, grain, wives and sons — and the hymns celebrate killing them for pay.",1399,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “The named enemies hold forts, grain, wives and sons — and the hymns celebrate killing them for pay.” The page has 0 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: no detected source section",0,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,9
the-king-they-claimed,The King They Claimed: Suheldev and the Rajbhars,They built a party around their own forgotten king. Then others claimed him.,1356,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “They built a party around their own forgotten king. Then others claimed him.” The page has 7 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",7,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,3
the-land,"The Land in the Rigveda: Rivers, Regions and Geography",Status was contingent on real estate.,1401,ecology-or-material,Living Tiṇai,Reading Room,"Connect material practice to environmental setting and present knowledge without asserting continuity by resemblance. Its central public claim is “Status was contingent on real estate.” The page has 18 estimated source entries, 0 external links, 2 tables and 4 inline SVGs; source state: substantial bibliography, mostly non-linked",18,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,53
the-languages-we-lost,"Language Isolates of South Asia: Burushaski, Kusunda, Nihali","Four languages still speak, and no one knows their relatives.",1035,language,Nocturnal Veḷi,Reading Room,"Best framed around established correspondences, competing hypotheses, and clearly bounded unknowns. Its central public claim is “Four languages still speak, and no one knows their relatives.” The page has 9 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",9,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,4
the-late-hymn,Purusha Sukta: The Caste Hymn Was Added Late,The whole hierarchy enters in one late hymn.,1212,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The whole hierarchy enters in one late hymn.” The page has 13 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",13,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,12
the-later-count,Counting Varna in the Taittiriya Samhita: A Thin Record,"Even in the later Vedic corpus, the four castes are thin, ritual, and rare.",912,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Even in the later Vedic corpus, the four castes are thin, ritual, and rare.” The page has 8 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",8,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
the-ledger,The Source Ledger: Ranking Evidence and Checking Scholars,The Ledger.,948,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The Ledger.” The page has 26 estimated source entries, 0 external links, 0 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",26,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,10
the-map-in-the-text,Mapping the Geography Inside the Vedic Texts,Two rivers carry the corpus: the Indus and the Sarasvatī.,3213,relational-analysis,Living Signal Field,Reading Room,"Well suited to interactive comparison if the underlying corpus/data and categories are exposed. Its central public claim is “Two rivers carry the corpus: the Indus and the Sarasvatī.” The page has 6 estimated source entries, 0 external links, 7 tables and 2 inline SVGs; source state: limited bibliography",6,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,2
the-mechanism,The Mechanism: How Social Hierarchy Was Enforced,"Ask who benefits from the critique, and you can predict what it leaves standing.",1658,relational-analysis,Living Signal Field,Reading Room,"Well suited to interactive comparison if the underlying corpus/data and categories are exposed. Its central public claim is “Ask who benefits from the critique, and you can predict what it leaves standing.” The page has 9 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: substantial bibliography, mostly non-linked",9,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,54
the-medicine-question,"Ayurveda and Siddha: Evidence, Efficacy and Heavy Metals","Traditional medicine, taken seriously — which means taken critically.",1642,ecology-or-material,Living Tiṇai,Reading Room,"Connect material practice to environmental setting and present knowledge without asserting continuity by resemblance. Its central public claim is “Traditional medicine, taken seriously — which means taken critically.” The page has 22 estimated source entries, 3 external links, 1 tables and 0 inline SVGs; source state: visible bibliography plus live links",22,3,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,12
the-names,Names and Naming in the Ancient South Asian Record,Three of the named enemies have names Sanskrit cannot parse.,1324,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Three of the named enemies have names Sanskrit cannot parse.” The page has 1 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: minimal source section",1,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,1
the-narrowing,How Women's Status Declined in Ancient India,"Women's status did not fade with time. It was narrowed, on purpose, as land and priesthood hardened.",1291,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Women's status did not fade with time. It was narrowed, on purpose, as land and priesthood hardened.” The page has 18 estimated source entries, 0 external links, 1 tables and 1 inline SVGs; source state: substantial bibliography, mostly non-linked",18,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,2
the-nine-enemies,"The Nine Named Enemies of the Rigveda, and Who Was Paid",Nine men are named as enemies. Each death has a beneficiary.,1642,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Nine men are named as enemies. Each death has a beneficiary.” The page has 0 estimated source entries, 0 external links, 3 tables and 0 inline SVGs; source state: no detected source section",0,0,Merge,Medium,Merge into `the-killed`; preserve unique evidence and redirect this URL.,No,13
the-other-laws,Law Beyond the Dharmasastra: Other Legal Traditions,Dozens of legal systems were operating. One was in a single volume. That one became law.,2810,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Dozens of legal systems were operating. One was in a single volume. That one became law.” The page has 23 estimated source entries, 0 external links, 7 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",23,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,Yes,47
the-renaming,"The Renaming: Places, Peoples and Sanskritised Names",Nothing was forbidden. Everything was renamed.,1675,institutional-critique,Extraction / Collection,Reading Room,"Potentially important critical interpretation; needs especially transparent sourcing and right-of-reply discipline. Its central public claim is “Nothing was forbidden. Everything was renamed.” The page has 0 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,1
the-three-ancestries,Three Ancestries: How South Asian Genomes Were Formed,Three ancestries made South Asia. Then endogamy froze them in place.,1824,comparative-visual,Living Signal Field,Reading Room,"Should lead with the visual relationship and make the schematic/measured distinction explicit. Its central public claim is “Three ancestries made South Asia. Then endogamy froze them in place.” The page has 20 estimated source entries, 2 external links, 1 tables and 2 inline SVGs; source state: visible bibliography plus live links",20,2,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,10
the-uneven-arrival,Hittites Spoke Indo-European. Their DNA Lacks Steppe Markers,The Hittites spoke Indo-European. Their DNA carries no steppe marker.,1487,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The Hittites spoke Indo-European. Their DNA carries no steppe marker.” The page has 12 estimated source entries, 2 external links, 1 tables and 0 inline SVGs; source state: visible bibliography plus live links",12,2,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,5
the-unwritten,The Unwritten: Oral Traditions That Left No Text,Writing is not where things start. It is where claims start.,1051,language,Nocturnal Veḷi,Reading Room,"Best framed around established correspondences, competing hypotheses, and clearly bounded unknowns. Its central public claim is “Writing is not where things start. It is where claims start.” The page has 5 estimated source entries, 0 external links, 3 tables and 0 inline SVGs; source state: limited bibliography",5,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,50
the-vedda,"The Vedda of Sri Lanka: Ancient Ancestry, Lost Language","The Vedda: an ancient population, and a language lost within living memory.",1130,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The Vedda: an ancient population, and a language lost within living memory.” The page has 15 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",15,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,5
the-visitors,Foreign Visitors' Accounts of Ancient India,Three Chinese monks spent fifty years in India and wrote it all down.,1621,relational-analysis,Living Signal Field,Reading Room,"Well suited to interactive comparison if the underlying corpus/data and categories are exposed. Its central public claim is “Three Chinese monks spent fifty years in India and wrote it all down.” The page has 15 estimated source entries, 0 external links, 2 tables and 2 inline SVGs; source state: substantial bibliography, mostly non-linked",15,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,51
the-water-city,"Indus Water Engineering: Drains, Wells and No Palaces",The Indus built its cities around water — and left no palace to control it.,1181,place,Living Tiṇai,Reading Room,"Strong museum material because place, excavation, politics, and present stakes can remain connected. Its central public claim is “The Indus built its cities around water — and left no palace to control it.” The page has 11 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",11,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,7
the-womb-doctrine,"Caste Rebirth Appears in One Upanishad, Not Its Parallel",Caste-by-rebirth is one school's insertion — not shared scripture.,1306,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Caste-by-rebirth is one school's insertion — not shared scripture.” The page has 5 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",5,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,18
the-words-of-caste,"The Vocabulary of Caste: Vis, Jati, Varna, Gotra",The words of caste were innocent first.,1374,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “The words of caste were innocent first.” The page has 15 estimated source entries, 1 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",15,1,Keep,Medium,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,5
therigatha,Therigatha: Poems by the First Buddhist Women,Seventy-three poems by named women — and most people have never read one.,1340,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Seventy-three poems by named women — and most people have never read one.” The page has 1 estimated source entries, 0 external links, 0 tables and 1 inline SVGs; source state: minimal source section",1,0,Revise,High,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,56
they-already-knew,They Already Knew: Anti-Caste Movements and What Followed,"They already knew. In 1873, they said it out loud.",1647,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “They already knew. In 1873, they said it out loud.” The page has 15 estimated source entries, 1 external links, 0 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",15,1,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,14
tinai,Tinai: The Tamil Poetics of Five Landscapes,Tiṇai: a poetics that thinks with the land.,1407,concept,Living Tiṇai,Reading Room,"Defines a knowledge framework rather than merely describing a historical topic. Its central public claim is “Tiṇai: a poetics that thinks with the land.” The page has 19 estimated source entries, 2 external links, 1 tables and 0 inline SVGs; source state: visible bibliography plus live links",19,2,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,8
two-classical-languages,Sanskrit and Tamil: Two Classical Languages Compared,"Two classical languages, built the same way.",2755,comparative-visual,Living Signal Field,Reading Room,"Should lead with the visual relationship and make the schematic/measured distinction explicit. Its central public claim is “Two classical languages, built the same way.” The page has 13 estimated source entries, 0 external links, 5 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",13,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,1
veli,"Veli: The Open, and What Was Put Outside","Veḷi means empty, open, outside, clear, light and true — and those are one word, not six.",1076,semantic-field,Nocturnal Veḷi,Reading Room,"Central brand/intellectual page; dictionary entries, attested languages, and semantic convergence must be exact. Its central public claim is “Veḷi means empty, open, outside, clear, light and true — and those are one word, not six.” The page has 9 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",9,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,46
visvamitra,Visvamitra: The Warrior Who Composed the Gayatri,The holiest verse in Brahmanism was written by a warrior.,1107,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The holiest verse in Brahmanism was written by a warrior.” The page has 11 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",11,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
what-the-children-are-taught,"What Indian Children Are Taught, and What Is Left Out",A civilisation was renamed in a textbook for eleven-year-olds.,1255,learning,Tamil Retrofuture,Reading Room,"Should be rewritten for a declared learner level and tested with educators rather than merely simplifying an adult argument. Its central public claim is “A civilisation was renamed in a textbook for eleven-year-olds.” The page has 0 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,3
what-they-had,What They Had: Material Culture of Ancient South Asia,No word for the plough until the last layer.,1364,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “No word for the plough until the last layer.” The page has 0 estimated source entries, 0 external links, 5 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,2
what-travelled,What Travelled: Indian Culture Across Asia and What Did Not,"Sanskrit, Śiva, the Buddha and the temple all crossed the ocean. The brahmanical social order did not.",1416,network,Living Signal Field,Reading Room,"Excellent atlas material if direction, date, and evidentiary basis are encoded separately. Its central public claim is “Sanskrit, Śiva, the Buddha and the temple all crossed the ocean. The brahmanical social order did not.” The page has 6 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: limited bibliography",6,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,53
what-varna-meant,What Varna Meant in the Rigveda: All 23 Occurrences,Varṇa means colour. It never means occupation.,1463,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Varṇa means colour. It never means occupation.” The page has 0 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: no detected source section",0,0,Revise,High,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,71
who-had-it-first,Who Had It First: Priority Claims in South Asian History,Who had it first.,2105,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Who had it first.” The page has 18 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",18,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,1
who-is-speaking,Who Is Speaking: Voice and Authority in Ancient Texts,The passages that bind hardest are the ones nobody signed.,2154,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The passages that bind hardest are the ones nobody signed.” The page has 3 estimated source entries, 0 external links, 4 tables and 1 inline SVGs; source state: limited bibliography",3,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
who-named-india,"Who Named India: Sindhu, Hindu, and the Exonym Chain",Who named India? Never India.,1134,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Who named India? Never India.” The page has 14 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",14,0,Keep,Medium,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
who-writes-the-textbook,Who Writes India's History Textbooks: The Danino Case,An electrical engineer wrote India's history curriculum.,1954,institutional-critique,Extraction / Collection,Reading Room,"Potentially important critical interpretation; needs especially transparent sourcing and right-of-reply discipline. Its central public claim is “An electrical engineer wrote India's history curriculum.” The page has 10 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",10,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,8
why-the-ranked-defend-the-ranking,Why the Ranked Defend the Ranking: Hindutva Without Brahmins,Why do people at the bottom of a hierarchy defend it?,2202,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “Why do people at the bottom of a hierarchy defend it?” The page has 20 estimated source entries, 2 external links, 0 tables and 0 inline SVGs; source state: visible bibliography plus live links",20,2,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,9
