"backlog_id","title","current_site_coverage","current_prompt_coverage","prior_research_available","research_required","product_spec_required","technical_dependency","institutional_dependency","existing_route","proposed_destination","release","status","reason","owner_decision","final_zip_location"
"BL-046","Rights architecture","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 4 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-193, last IH-283","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VIII. Institutional credibility","",""
"BL-047","Move content toward structured data","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IX. Technical infrastructure","",""
"BL-048","Stable IDs","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IX. Technical infrastructure","",""
"BL-049","Generated Research Index","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IX. Technical infrastructure","",""
"BL-050","Data export","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IX. Technical infrastructure","",""
"BL-051","API","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IX. Technical infrastructure","",""
"BL-052","Provenance down to citation location","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IX. Technical infrastructure","",""
"BL-053","Keep the four-door concept—for now","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: X. UX and information architecture","",""
"BL-054","Stop surfacing all pages equally","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: X. UX and information architecture","",""
"BL-055","Related material should be evidence-driven","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: X. UX and information architecture","",""
"BL-056","Mobile becomes intentional","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: X. UX and information architecture","",""
"BL-057","Accessibility becomes evidentiary","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: X. UX and information architecture","",""
"BL-058","Multilingual architecture","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: X. UX and information architecture","",""
"BL-059","Bring “THE FIELD REVEALS THE RECORD” to MelaKeela.com","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"BL-060","OBJECT","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"BL-061","FIELD","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"BL-062","EVIDENCE","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"BL-063","CONSTELLATION","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"BL-064","Redesign the header","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"BL-065","Reduce interface chrome","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XI. Visual transformation","",""
"PROG-01","Programme 01 — Indus","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Unnumbered in the original and placed between items 65 and 66. Not item 90-95; does not extend the 1-89 numbering (06-BACKLOG/BACKLOG-v2-ITEMS.md)","",""
"PROG-02","Programme 02 — Dravidian","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Unnumbered in the original and placed between items 65 and 66. Not item 90-95; does not extend the 1-89 numbering (06-BACKLOG/BACKLOG-v2-ITEMS.md)","",""
"PROG-03","Programme 03 — Text and Power","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Unnumbered in the original and placed between items 65 and 66. Not item 90-95; does not extend the 1-89 numbering (06-BACKLOG/BACKLOG-v2-ITEMS.md)","",""
"PROG-04","Programme 04 — People and Movement","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Unnumbered in the original and placed between items 65 and 66. Not item 90-95; does not extend the 1-89 numbering (06-BACKLOG/BACKLOG-v2-ITEMS.md)","",""
"PROG-05","Programme 05 — Living Worlds","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Unnumbered in the original and placed between items 65 and 66. Not item 90-95; does not extend the 1-89 numbering (06-BACKLOG/BACKLOG-v2-ITEMS.md)","",""
"PROG-06","Programme 06 — Histories of Knowledge","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Unnumbered in the original and placed between items 65 and 66. Not item 90-95; does not extend the 1-89 numbering (06-BACKLOG/BACKLOG-v2-ITEMS.md)","",""
"BL-066","3D object inspection","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-067","Excavation simulation","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-068","Script laboratory","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-069","Audio language layer","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-070","Spatial audio","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-071","Personalized Evidence Constellation","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-072","Research workspaces","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-073","Institutional collections integrations","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-074","Public contribution","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-075","AI-assisted research interface","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XII. Later","",""
"BL-076","Full VR ancient city","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-077","AI historical characters","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-078","Giant speculative reconstructions","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-079","Multiplayer","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-080","Gamification economy","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-081","Native app","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-082","100-page visual redesign","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-083","Massive content expansion","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-084","Full open API","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-085","Full open-source commitment","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-086","Huge advisory board","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
"BL-087","Permanent physical museum","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: XIII. Do not build yet","",""
