"field","zurich_lemma","grassmann_lemma","tokens","keyword","verdict","reason","gloss"
"MARK","viśpálāvasu-","viśpálāvasu-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","eine Bezeichnung der Aśvin"
"MARK","prakaṅkatá-","prakaṅkatá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines schädlichen Tiers"
"MARK","prabhavá-","prabhavá-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","sich hervortuend, sich auszeichnend"
"MARK","śūghaná-","śūghaná-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","unklar, wohl Bezeichnung eines Wasserwirbels"
"MARK","viśiśiprá-","viśiśiprá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines dämonischen Wesens"
"MARK","hariyūpī́yā-","hariyūpī́yā-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung einer Örtlichkeit"
"MARK","yavyā́vatī-","yavyā́vatī-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","'stromreiche' (Bezeichnung einer Gegend oder eines Flusses)"
"MARK","√rakṣⁱ-","rákṣas-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Beschädigung; Bezeichnung nächtlicher Unholde"
"MARK","citrā́yus-","citrā́yus-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnete Lebenskraft habend"
"MARK","janaśrī́-","janaśrī́-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","A. den Stamm vollkommen machend, B. durch seinen Stamm s. auszeichnend, C. der Schönheit, Glanz unter seinem Stamm, in seinem Stamm hat, D. f. Glanz, Schönheit des Stamms seiend, den Glanz des Geschlechts ausmachend"
"MARK","ā́lākta-","ā́lākta-","1","strich","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'bestrichen', smeared, contains strich.","mit Gift bestrichen"
"MARK","kr̥ṣṇī́-","kr̥ṣṇī́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung der Nacht"
"MARK","vr̥ṣaśiprá-","vr̥ṣaśiprá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","'die Lippen eines Stieres habend': Bezeichnung oder Benennung eines Dämons"
"MARK","jatrú-","jatrú-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Plur. 'Bezeichnung bestimmter Knochen oder Knorpel, vielleicht: 'Rippenknorpel'"
"MARK","mākī́-","mākī́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","unklar, vielleicht Bezeichnung zweier junger Frauen, dann vielleicht 'meine beiden, die meinigen'"
"MARK","kuṇḍapā́yya-","kuṇḍapā́yya-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","wohl Bezeichnung eines bestimmten Soma-Opfers 'aus Krügen zu trinken'"
"MARK","víbhūtarāti-","víbhūtarāti-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnete Gaben gewährend"
"MARK","kadrū́-","kadrū́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung für ein Somagefäss?
N. pr.? weiblicher Name?
kádru- später 'rötlichbraun'"
"MARK","sahásrabāhu-","sahásrabāhu-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","wobei tausend Arme tätig sind (poetische Bezeichnung der Schlacht); oder N. pr.?"
"MARK","píṅgā-","píṅgā-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","wohl Bezeichnung eines Musikinstruments, vielleicht eines Zupf-Instruments bzw. von dessen Saite"
"MARK","vibhukrátu-","vibhukrátu-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnete Kraft besitzend"
"MARK","vibhumánt-","vibhumánt-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnet, mächtig"
"MARK","manaścít-","manaścít-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","'Verstand, Geist erkennend' bzw. 'sich durch seinen Verstand auszeichnend'"
"MARK","gandharvī́-","gandharvī́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Feminin von gandharvá- (Bezeichnung mythischer Wesen, in besonderer Beziehung zu Soma stehend)"
"MARK","udumbalá-","udumbalá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Epitheton der beiden Hunde des Yama
hier wohl eine vom Baumnamen udumbára- herrührende Farbbezeichnung, etwa: rötlich wie eine u°-Frucht"
"MARK","pākadūrvā́-","pākadūrvā́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung einer hirseartigen Pflanze"
"MARK","vīrákarma-","vīrákarma-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","'Manneswerk verrichtend': Bezeichnung des männlichen Gliedes"
"MARK","br̥haddivá-","br̥haddivá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","im hohen Himmel weilend, himmlisch; f. Bezeichnung einer auch als ""Mutter"" bezeichneten Göttin, welche besonbders neben íḍā, neben sárasvatī und rākā́ genannt wird"
"MARK","pā́jasvant-","pā́jasvant-","1","zeichn","FALSE-POSITIVE","METALANGUAGE. 'eine Kennzeichnung der Marut' is Grassmann saying the word characterises the Maruts, not that it means a mark.","'mit pā́jas- versehen', eine Kennzeichnung der Marut"
"MARK","balavijñāyá-","balavijñāyá-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","an seiner Kraft zu erkennen, durch Stärke ausgezeichnet"
"MARK","ákr̥ṣīvala-","ákr̥ṣīvala-","1","kerb","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ackerbauend', farming, contains kerb.","nicht ackerbauend"
"MARK","sadānvā-","sadānvā-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","die mit Dämonen verbundene (Bezeichnung einer Unholdin; N. pr.?)"
"MARK","ajñātayakṣmá-","ajñātayakṣmá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","verborgene Krankheit (yákṣma-), als Bezeichnung einer bestimmten Krankheit"
"MARK","mátasna-","mátasna-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Du. Bezeichnung bestimmter innerer Organe, vielleicht Nieren oder Lungen"
"MARK","vanaṃkáraṇa-","vanaṃkáraṇa-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines Körperteils: 'das Wasser lassende Glied' (?) oder: 'Blase' (?)"
"WEIGHT","√mā- 1","√ mā- 1","86","messen","TRUE","'messen, abmessen, zumessen, zuteilen', to measure and to mete out. The act, not the instrument.","messen, abmessen, zumessen, zuteilen"
"WEIGHT","yójana-","yójana-","18","mass","TRUE","'Gespann, Wegstrecke, Wegmass', a measure of distance.","Gespann, Wegstrecke, Wegmass"
"WEIGHT","pratimā́na-","pratimā́na-","13","mass","TRUE","'was gleiches Mass, gleiche Grösse, gleiche Kraft mit einem andern hat; Vergleichung'. A counterpart or match, and the nearest thing in the corpus to a comparison of magnitudes. Not a balance and not a weight standard; adjudicated TRUE for the field so that it is visible rather than filtered.","was gleiches Mass, gleiche Grösse, gleiche Kraft  mit einem andern hat, gleich starker, ebenbürtiger Gegner; Vergleichung"
"WEIGHT","ámita-","ámita-","9","messen","TRUE","'ungemessen; unermesslich', unmeasured. A measure word in the negative.","ungemessen; unermesslich"
"WEIGHT","mā́trā-","mā́trā-","7","mass","TRUE","'Masstab, Mass', a standard and a measure. With khārī́- this is why DK-R-014 was rewritten after review: the corpus does have standard measures.","Masstab, Mass"
"WEIGHT","gurú-","gurú-","6","gewicht","TRUE","'schwer, gewichtig, hart, heftig, drückend, gross', heavy and weighty. The property, not a unit and not an instrument.","schwer, gewichtig, hart, heftig, drückend, gross"
"WEIGHT","mā́na- 3","mā́na- 3","2","mass","TRUE","'Messschnur, Mass' in one of Grassmann's senses for this homonym; the same instrument as mā́na- 1.","'Messschnur, Mass'"
"WEIGHT","vimā́na- 1","vimā́na-","2","messen","TRUE","'das Durchmessen, Durchlaufen', measuring through or traversing.","Anordnung; das Durchmessen, Durchlaufen"
"WEIGHT","súmita-","súmita-","2","messen","TRUE","'schön gemessen, schön errichtet', well measured out.","schön gemessen, schön errichtet"
"WEIGHT","triviṣṭidhā́tu-","triviṣṭidhā́tu-","1","gewicht","TRUE","Grassmann's entry quotes Geldner's 'das dreifache (Gegengewicht)', a threefold counterweight, inside a gloss that is otherwise uncertain. Adjudicated TRUE for the field on the strength of the quoted word, with the uncertainty carried into the register row rather than resolved here.","aus dreifacher Leistung (?) (Geldner i 133: 'das dreifache (Gegengewicht)'?)"
"WEIGHT","téjana-","téjana-","1","messen","TRUE","'Rohrstab (zum Ausmessen RV 01.110.05)', a reed rod used for measuring out. An instrument.","Rohrstab (zum Ausmessen RV 01.110.05); später: Pfeilschaft, Bambus, od. ähnl. "
"WEIGHT","mā́na- 1","mā́na- 3","1","mass","TRUE","'Messschnur, Mass', a measuring cord. An instrument of measurement, which is why DK-R-014 names it as the only one.","'Messschnur, Mass'"
"WEIGHT","vimā́na- 2","vimā́na-","1","messen","TRUE","the same gloss under Grassmann's second homonym.","Anordnung; das Durchmessen, Durchlaufen"
"WEIGHT","khārī́-","khārī́-","1","mass","TRUE","'ein Hohlmass', a measure of capacity - a named unit, and the closest thing in the corpus to a metrological standard.","ein Hohlmass"
"WEIGHT","parómātra-","parómātra-","1","mass","TRUE","'über das Mass hinaus gross', beyond measure.","über das Mass hinaus gross oder gewaltig"
"WEIGHT","tuvimātrá-","tuvimātrá-","1","messen","TRUE","'viel zumessend, viel gewährend', measuring out much.","viel zumessend, viel gewährend (von Indra gesagt)"
"WEIGHT","pramā́-","pramā́-","1","mass","TRUE","'das Abmessen' oder 'Grundmass, Name eines Metrums' (?). Grassmann offers both a measuring-out and a metre and marks the entry uncertain; counted TRUE for the field with his question mark carried through.","'das Abmessen' oder 'Grundmass, Name eines Metrums' (?)"
"WEIGHT","māná-","māná-","1","abgemessen","TRUE","'nicht klar; vielleicht Erzeugnis, Präparat (*das Abgemessene?)'. Grassmann does not know what it means; the starred paraphrase is his reconstruction, not a sense. Counted TRUE for the field only because the paraphrase is a measuring word, and it supports nothing.","nicht klar; vielleicht 'Erzeugnis, Präparat' (*'das Abgemessene'?)"
"WEIGHT","citráśravastama-","citráśravastama-","5","mass","FALSE-POSITIVE","GERMAN POLYSEMY. 'in hohem Ausmass' is an adverbial extent, not a measurement.","in hohem Ausmass glänzenden Ruhm habend
Superlativ"
"WEIGHT","traíṣṭubha-","traíṣṭubha-","5","mass","FALSE-POSITIVE","GERMAN POLYSEMY. 'das Mass der triṣṭúbh- habend' is a metrical scheme.","das Mass der triṣṭúbh- habend; n. ein Vers oder Lied in diesem Masse oder die Weise desselben"
"WEIGHT","triṣṭúbh-","triṣṭúbh-","5","mass","FALSE-POSITIVE","GERMAN POLYSEMY. German Mass is both a measure and a metre; a Versmass is a metrical scheme and has nothing to do with weighing.","Preislied; das aus vier Gliedern von je elf Silben bestehende Versmass; < '*dreimal jauchzend' oder '*aus drei freudigen Zurufen bestehend' (?)"
"WEIGHT","anuṣṭúbh-","anuṣṭúbh-","2","mass","FALSE-POSITIVE","GERMAN POLYSEMY. German Mass is both a measure and a metre; a Versmass is a metrical scheme and has nothing to do with weighing.","Lobgesang, ein Versmass"
"WEIGHT","udameghá-","udameghá-","1","mass","FALSE-POSITIVE","GERMAN POLYSEMY. Masse as a bulk of water.","Geldner i 153: 'Wassermasse'
GM: 'Wassertraufe'; (meghá- 'Wolke, trübes Wetter')"
"WEIGHT","píṇḍa-","píṇḍa-","1","mass","FALSE-POSITIVE","GERMAN POLYSEMY. German Masse, a lump or mass of stuff, is not Mass, a measure.","Klumpen, Fleischklumpen, Fleischkloss, runde Masse, Kugel"
"WEIGHT","śr̥dhyā́-","śr̥dhyā́-","1","mass","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'Vermessenheit, Anmassung', presumption, is built on messen but means arrogance.","Vermessenheit, Anmassung"
"WEIGHT","abdimánt-","abdimánt-","1","mass","FALSE-POSITIVE","GERMAN POLYSEMY. Masse as a bulk of cloud.","vielleicht 'mit Wolkenmassen, mit Wassergüssen'"
"WEIGHT","guṣpitá-","guṣpitá-","1","mass","FALSE-POSITIVE","GERMAN POLYSEMY. Masse as a lump.","wirre Masse, Gewirr"
"WEIGHT","átaptatanū-","átaptatanū-","1","mass","FALSE-POSITIVE","GERMAN POLYSEMY. Masse as bodily bulk.","dessen Körper (Masse) nicht durchglüht, nicht gekocht ist"
"WEIGHT","samanyà-","samanyà-","1","messen","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'angemessen', fitting, is built on messen and is not a measurement.","den festlichen Zusammenkünften angemessen, festlich"
"WEIGHT","nánāndar-","nánāndar-","1","wäg","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'Schwägerin', sister-in-law, contains the substring waeg written as wäg.","Schwester des Gatten, Schwägerin"
"WEIGHT","sahápramā-","sahápramā-","1","mass","FALSE-POSITIVE","GERMAN POLYSEMY. German Mass is both a measure and a metre; a Versmass is a metrical scheme and has nothing to do with weighing.","mit Versmassen versehen"
"WRITING","bharádvāja-","bharádvāja-","19","geschrieben","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'zugeschrieben' means ascribed, said of hymns attributed to a poet.","('der den Siegespreis davonträgt':) N. pr., Eigenname eines berühmten Sängers, dem die Hymnen des sechsten Buches zugeschrieben werden; Pl. die Nachkommen des bharádvāja-"
"WRITING","pradíś-","pradíś-","19","schrift","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'Vorschrift' means prescription and contains schrift.","Anweisung, Vorschrift; Richtung, Weltgegend"
"WRITING","praśíṣ-","praśíṣ-","4","schrift","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'Vorschrift' means prescription and contains schrift.","Befehl, Aufforderung, Vorschrift"
"WRITING","śāstrá-","śāstrá-","1","schrift","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'Vorschrift' means prescription and contains schrift.","Befehl, Vorschrift"
"WRITING","vratanī́-","vratanī́-","1","schrift","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'Vorschrift' means prescription and contains schrift.","die (göttliche) Vorschrift ausführend, von der Vorschrift geleitet"
